tiempo,crudo,filtrado,fusion,kalman,distancia
35.264,99.4798182902494,99.9400343825446,197.97715786502113,190.84062637563392,2.014372800000002
35.296,100.4313693718237,100.08743487932833,198.41711329735804,190.6175176185504,2.0163196000000028
35.328,102.13883784002957,100.7028557675387,197.79637156967135,190.3224382829306,2.0182664000000035
35.36,100.66119640410339,100.6903579585081,196.40732764653694,189.8807874345128,2.0201504000000035
35.392,96.70567033661017,99.49495167193871,198.50762829471847,189.84779012746128,2.0220971999999997
35.424,103.37980305347624,100.66040708639996,200.77661581684146,190.23144634812448,2.024043999999996
35.456,106.05323979429707,102.27825689876909,201.54627338953216,190.736401209513,2.025927999999996
35.488,96.95600250361738,100.68158058022357,200.95544194173203,191.04302147479183,2.027811999999996
35.52,98.13784651517223,99.91846036070817,198.74813281905398,190.84319341822447,2.0297587999999966
35.552,99.09401371525593,99.67112636707247,200.28535786474612,190.95776765211173,2.0317055999999973
35.584,101.23011387258069,100.13882261872493,200.935409896021,191.22069539150397,2.0335895999999973
35.616,98.42863932888551,99.6257676317731,202.4798767158054,191.7155785165193,2.0354735999999973
35.648,106.01590737875952,101.54280955586903,205.25280789808733,192.57134931685823,2.037420399999998
35.68,105.0539353658541,102.59614729886455,204.68844066139636,193.1700786651983,2.0393671999999987
35.712,98.78634643435284,101.45320703951103,201.2374327320652,193.08724899653592,2.0412511999999987
35.744,99.28297528718069,100.80213751381191,202.65122292563638,193.2238704437594,2.0431979999999994
35.776,95.2678785327984,99.14185981950786,199.72550514951337,192.8062161093636,2.0451448
35.808,93.57492919335148,97.47178063166093,198.79210594660105,192.34664659294202,2.0470288
35.84,101.29299814255481,98.61814588492909,198.68495940771928,191.95086475877565,2.0489128
35.872,97.45066500497185,98.26790162094191,198.5094387413577,191.54351629184484,2.050859600000001
35.904,98.60390062658072,98.36870132263354,199.57422718527465,191.4026209437227,2.0528064000000015
35.936,96.68391670238333,97.86326593655846,201.03194312333417,191.60250361795022,2.0546904000000015
35.968,103.16958415572023,99.45516140230698,203.4926377917441,192.21158763917953,2.0565744000000015
36.0,104.19060896524996,100.87579567118988,204.22275583370205,192.73971180463846,2.058584000000003
36.032000000000004,98.60215476506832,100.19370339935341,201.96464459578414,192.86640100550363,2.060468000000003
36.064,106.16302960237182,101.98450126025892,202.69610022132446,193.1025514248316,2.062352000000003
36.096000000000004,97.29356821990818,100.5772213481537,201.9846690736525,193.1157585814949,2.0642988000000035
36.128,104.89472095080991,101.87247122895056,202.5467325072628,193.22830735896304,2.0662456000000042
36.160000000000004,109.80300527584009,104.2516314430174,203.89293821182716,193.61557832763864,2.0681296000000042
36.192,106.99626865407618,105.07502260633501,204.63221905978196,194.0665622088119,2.0700136000000042
36.224000000000004,104.56581118062438,104.92225917862183,204.12304975216244,194.29232739505255,2.0719604000000005
36.256,102.84438136226949,104.29889583371612,205.6155240102152,194.74736377225412,2.0739071999999967
36.288000000000004,95.17417801396118,101.56148048778962,201.09035991102934,194.35242960808125,2.0757911999999967
36.32,99.07537008487205,100.81564736691435,199.62115172261542,193.76305451786075,2.0776751999999967
36.352000000000004,98.29974415796536,100.06087640422965,200.15285306062103,193.27372475994383,2.079684799999998
36.384,100.35466168903747,100.14901198967199,200.52987102683443,193.04406849742807,2.081568799999998
36.416000000000004,103.58366401975402,101.1794075986966,201.10538264260188,192.960145617964,2.083452799999998
36.448,101.10183439398779,101.15613563728394,200.10902280923642,192.65964056338112,2.085399599999999
36.480000000000004,99.34229754896224,100.61198421078741,200.90365598888684,192.55735280495315,2.0873463999999995
36.512,95.79496541862947,99.16687857314002,200.47370778693494,192.4471926775485,2.0892303999999995
36.544000000000004,101.73231987134524,99.93651096260159,202.5798467384416,192.73817717021086,2.0911143999999995
36.576,96.41046231348237,98.87869636786581,201.7564656618919,192.7760309106963,2.0930612
36.608000000000004,105.47240250465278,100.8568082089019,201.95764634097634,192.84344642077974,2.095008000000001
36.64,98.97078008845628,100.2909997727682,199.71499855403846,192.54417957678436,2.096892000000001
36.672000000000004,100.86855583027878,100.46426659002137,201.42991010259226,192.558040655195,2.0988388000000016
36.704,101.58630025836352,100.800876690524,202.4541813033215,192.7547834522717,2.1007856000000023
36.736000000000004,102.86513297216541,101.42015357501641,201.28708745814112,192.75610856596973,2.1026696000000022
36.768,101.43215558948418,101.42375417935673,200.28479077940807,192.57578063182478,2.1045536000000022
36.800000000000004,94.86498777849724,99.45612425909887,197.50458198209475,191.87344737263135,2.106500400000003
36.832,96.77898935280521,98.65298378721076,197.49899000557937,191.29722255240466,2.1084472000000036
36.864000000000004,102.76801527808419,99.88749323447277,197.3574324346859,190.85110477925915,2.1103312000000036
36.896,101.29790458143884,100.31061663856258,197.83903815143265,190.57290264999997,2.1122152000000036
36.928,100.27087475360983,100.29869407307675,200.6594201859403,190.80410319019373,2.1141620000000043
36.96,100.27747042652312,100.29232697911065,200.2108537334624,190.91226759568704,2.116108800000005
36.992,106.28538008845288,102.09024291191332,201.7441801666908,191.32981613921967,2.117992800000005
37.024,99.33060062851268,101.26235022689312,201.62723238865527,191.59918882193287,2.1199396000000013
37.056,102.80155703720479,101.7241122699866,201.29383880365754,191.75946230961824,2.1218863999999975
37.088,99.97493263165985,101.19935837848857,199.58516207794702,191.63289381405426,2.1237703999999975
37.12,101.3964695845582,101.25849174030947,200.97823137909916,191.78137597947898,2.1256543999999975
37.152,98.22539883447249,100.34856386855837,199.73853929778608,191.62716870321492,2.127601199999998
37.184,103.45426792890392,101.28027508666202,199.84923078699057,191.52090744454446,2.129547999999999
37.216,97.4879262270593,100.1425704287812,198.79528606144828,191.29455119202672,2.131431999999999
37.248,97.97251212071625,99.4915529363617,197.44214195357418,190.86424914066166,2.133315999999999
37.28,100.84039629701842,99.89620594455872,198.4631152964992,190.59375761306225,2.1353256000000003
37.312,104.60876731371337,101.30997435530512,200.31922954256544,190.8110431528402,2.1372096000000003
37.344,102.71280272178026,101.73082286524766,201.64649375209973,191.22923207068598,2.1390936000000003
37.376,97.2180569467204,100.37699308968946,199.5554305027315,191.1418192320051,2.141040400000001
37.408,102.01102550486742,100.86720281424284,198.3321929010596,190.84882493667507,2.1429872000000016
37.44,107.58662719443333,102.88303012829999,201.42272969982258,191.21967470880014,2.1448712000000016
37.472,97.62504965030463,101.30563598490139,200.1348538860321,191.2902992760831,2.1467552000000016
37.504,96.31879305799113,99.8095831068283,199.88308080568922,191.25113731491456,2.1487020000000023
37.536,102.10234253244137,100.4974109345122,201.03877665544724,191.42824164522222,2.150648800000003
37.568,108.01972952571855,102.7541065118741,202.58752119175557,191.90504279697495,2.152532800000003
37.6,101.66361695694579,102.42695964539561,201.73734886803925,192.14166505061726,2.154416800000003
37.632,101.54883252272633,102.16352150859481,201.22055854203788,192.13905478907557,2.1564264000000044
37.664,99.54689336408572,101.37853306524208,202.24169991960497,192.42460773999167,2.1583104000000044
37.696,104.15446020573766,102.21131120739074,204.07015050301453,192.98942132431154,2.1601944000000044
37.728,99.48102289195668,101.39222471276052,202.46433323775904,193.10992276825053,2.162141200000005
37.76,100.91618698474437,101.24941339435568,200.5815889598615,192.86784171976626,2.164088000000006
37.792,103.0995578094945,101.80445671889731,201.16302572639972,192.82624870345697,2.165972000000006
37.824,102.65200373427109,102.05872082350945,200.6444156425455,192.698316784539,2.167856000000006
37.856,107.28103532418524,103.62541517371218,204.4769295686296,193.23578235542973,2.1698028000000065
37.888,93.08432884966524,100.4630892764981,198.73428718737006,192.63656400924074,2.1717496000000027
37.92,95.84991842296583,99.0791380204384,196.73796391783566,191.83590650354978,2.1736336000000027
37.952,97.87785240861403,98.7187523368911,197.23467127068824,191.27006880995947,2.1755176000000027
37.984,102.35980291226184,99.81106750950232,200.0094434656996,191.20600648374275,2.177527199999999
38.016,102.1210285454627,100.50405582029043,201.63007459964408,191.54973619544657,2.179411199999999
38.048,93.97899567323019,98.54653777617236,198.48102010507648,191.26128065438695,2.181295199999999
38.08,94.59554450817132,97.36123979577204,196.62874710476376,190.6383446870994,2.183242
38.112,99.76075209437593,98.0810934853532,198.54957432548292,190.47582352903277,2.1851888000000006
38.144,106.23461321414221,100.5271494039899,200.94676992190495,190.82803809225493,2.1870728000000006
38.176,101.54207448446365,100.83162692813202,200.1749975787722,190.9768138214315,2.1889568000000006
38.208,104.15671047010593,101.8291519907242,200.88716798704147,191.1761292298155,2.1909036000000013
38.24,105.23635755708129,102.85131366063132,203.53074483524105,191.81784987851617,2.192850400000002
38.272,104.58737655207865,103.3721325280655,202.3759738782298,192.18584337171558,2.194734400000002
38.304,101.91453121822863,102.93485213511443,203.96958838864032,192.72423786398247,2.1966812000000027
38.336,100.68949354629493,102.26124455846856,203.08827084843733,193.00566801001614,2.1986280000000034
38.368,106.19824264255006,103.44234398369301,205.38409320774394,193.70313149191566,2.2005120000000034
38.4,96.25722044262523,101.28680692137266,202.7632496737668,193.79998965848765,2.2023960000000034
38.432,105.8464818926648,102.6547094127603,206.1584219412861,194.44240111629853,2.204342800000004
38.464,101.57952798747095,102.33215498517349,204.18851508314827,194.61198945726716,2.2062896000000047
38.496,99.78885828903742,101.56916597633267,202.85974706080526,194.56181237997447,2.2081736000000047
38.528,101.72442966913044,101.61574508417199,203.1896677857191,194.58043205935837,2.2100576000000047
38.56,103.32190630591137,102.12759345069381,204.7157011000432,194.76902314441736,2.212067200000006
38.592,99.11518540521269,101.22387103704946,203.9293007382184,194.88400991539797,2.213951200000006
38.624,98.02757413800656,100.26498196733658,202.4284330901424,194.70653105609256,2.215835200000006
38.656,97.35694306079314,99.39257029537355,201.6672358564902,194.37196726685477,2.217782000000007
38.688,101.15093835324582,99.92008071273523,201.5530423522184,194.07728995101135,2.219728800000003
38.72,96.84761010351863,98.99833952997024,200.2484455821334,193.65125308241986,2.221612800000003
